"lostConnection/title","Ooops!"
"lostConnection/des","Oh no! It seems there is something wrong with your internet connection. Please connect to the internet and try again."
"lostConnection/textButton","Try again"
"common/back","Back"
"common/goBack","Go back"
"common/remove","Remove"
"common/next","Next"
"common/saveAndClose","Save and close"
"common/24h","24 hours"
"sideMenu/myMenu","My Menu"
"sideMenu/myOrders","My Orders"
"sideMenu/myOutlet","My Outlet"
"sideMenu/outletAddress","Outlet Address"
"sideMenu/openingHours","Opening Hours"
"sideMenu/deliveryOptions","Delivery Options"
"sideMenu/paymentOptions","Payment Options"
"sideMenu/myUsers","My Users"
"sideMenu/faqs","FAQs & Help"
"sideMenu/language","Language"
"sideMenu/logout","Log out"
"sideMenu/term","Terms & Conditions"
"sideMenu/policy","Privacy Policy"
"login/title","LOGIN"
"login/phone","Mobile phone number"
"login/password","Password"
"login/login","Log in"
"login/forgotPassword","Forgot password?"
"login/registerGuide","Don't have an account yet?"
"login/register","Register here"
"login/placeholderPhone","Your mobile phone number"
"login/placeholderPass","Your password"
"login/accountHasBeenDeactivated","Your account has been deactivated. Please contact your site administrator"
"login/phoneNumberFormatError","Phone number can only be 10 digits."
"login/passwordFormatError","Password can only be at least 8 characters, 1 upper case, 1 lower case, 1 numeric."
"login/loginError","Please check your phone or your password."
"forgotPassword/title","FORGOT PASSWORD"
"forgotPassword/description","Let's help you create a new one!
Please enter your mobile number for verification."
"forgotPassword/phone","Mobile phone number"
"forgotPassword/continue","Continue"
"forgotPassword/login","Log in here"
"forgotPassword/register","Register here"
"forgotPassword/placeholderPhone","Your mobile phone number"
"forgotPassword/forgotPasswordError","Please check your mobile phone number."
"register/title","REGISTER"
"register/phone","Mobile phone number"
"register/name","Name"
"register/businessName","Business name"
"register/next","Next"
"register/loginGuide","Already had an account?"
"register/login","Log in here"
"register/agree","I agree to the "
"register/T&C","T&C"
"register/and"," and "
"register/policy","Privacy Policy"
"register/placeholderPhone","Your mobile phone number"
"register/placeholderName","Your name"
"register/placeholderBusinessName","Your business name"
"register/errorName","Name can not be empty"
"register/errorBusinessName","Business name can not be empty"
"register/registerError","Please check your information"
"OTP/title","VERIFY NUMBER"
"OTP/verify","Verify"
"OTP/wrongNumber","Wrong number? "
"OTP/reEnter","Re-enter here."
"OTP/enterOTP","Enter OTP"
"OTP/OTPExpired","OTP expired. "
